Rank,TZ,DAIO,Yr,mvts
Base,Austria,TO,2006,749737
Base,Austria,TO,2007,812492
Base,Austria,TO,2008,820805
Base,Austria,TO,2009,767172
Base,Austria,TO,2010,787793
Base,Austria,TO,2011,807350
Base,Austria,TO,2012,797371
Base,Austria,TO,2013,794403
Base,Austria,TO,2014,832059
Base,Austria,TO,2015,851495
Base,Austria,TO,2016,861793
Base,Austria,TO,2017,919234
Base,Austria,TO,2018,970661
Base,Austria,TO,2019,1009864
Base,Austria,TO,2020,442433
Base,Austria,TO,2021,568726
Base,Austria,TO,2022,997237
Base,Austria,TO,2023,1076957.507
Base,Austria,TO,2024,1156556.558
Base,Austria,TO,2025,1183913.46
Base,Austria,TO,2026,1201519.958
Base,Austria,TO,2027,1216325.562
Base,Austria,TO,2028,1232634.935
Base,Austria,TO,2029,1242626.248
Base,Austria,T,2005,1049097
Base,Austria,T,2006,1091746
Base,Austria,T,2007,1179705
Base,Austria,T,2008,1203624
Base,Austria,T,2009,1112515
Base,Austria,T,2010,1137374
Base,Austria,T,2011,1154125
Base,Austria,T,2012,1133155
Base,Austria,T,2013,1113926
Base,Austria,T,2014,1152203
Base,Austria,T,2015,1167761
Base,Austria,T,2016,1174254
Base,Austria,T,2017,1232247
Base,Austria,T,2018,1300677
Base,Austria,T,2019,1364566
Base,Austria,T,2020,590080
Base,Austria,T,2021,739467
Base,Austria,T,2022,1267283
Base,Austria,T,2023,1395551.246
Base,Austria,T,2024,1505331.471
Base,Austria,T,2025,1540383.694
Base,Austria,T,2026,1563258.959
Base,Austria,T,2027,1582897.514
Base,Austria,T,2028,1604094.173
Base,Austria,T,2029,1617009.176
Base,Azerbaijan,I,2006,6108
Base,Azerbaijan,I,2007,5578
Base,Azerbaijan,I,2008,4705
Base,Azerbaijan,I,2009,4730
Base,Azerbaijan,I,2010,2943
Base,Azerbaijan,I,2011,4603
Base,Azerbaijan,I,2012,5046
Base,Azerbaijan,I,2013,4362
Base,Azerbaijan,I,2014,5644
Base,Azerbaijan,I,2015,5485
Base,Azerbaijan,I,2016,6644
Base,Azerbaijan,I,2017,5643
Base,Azerbaijan,I,2018,5205
Base,Azerbaijan,I,2019,5278
Base,Azerbaijan,I,2020,1733
Base,Azerbaijan,I,2021,4187
Base,Azerbaijan,I,2022,6090
Base,Azerbaijan,I,2023,5535.781381
Base,Azerbaijan,I,2024,5323.657285
Base,Azerbaijan,I,2025,5510.909787
Base,Azerbaijan,I,2026,5718.908386
Base,Azerbaijan,I,2027,5933.8592
Base,Azerbaijan,I,2028,6175.302643
Base,Azerbaijan,I,2029,6383.599111
Base,Azerbaijan,TI,2006,6108
Base,Azerbaijan,TI,2007,5578
Base,Azerbaijan,TI,2008,4705
Base,Azerbaijan,TI,2009,4730
Base,Azerbaijan,TI,2010,2943
Base,Azerbaijan,TI,2011,4603
Base,Azerbaijan,TI,2012,5046
Base,Azerbaijan,TI,2013,4362
Base,Azerbaijan,TI,2014,5644
Base,Azerbaijan,TI,2015,5485
Base,Azerbaijan,TI,2016,6644
Base,Azerbaijan,TI,2017,5643
Base,Azerbaijan,TI,2018,5205
Base,Azerbaijan,TI,2019,5278
Base,Azerbaijan,TI,2020,1733
Base,Azerbaijan,TI,2021,4187
Base,Azerbaijan,TI,2022,6090
Base,Azerbaijan,TI,2023,5535.781381
Base,Azerbaijan,TI,2024,5323.657285
Base,Azerbaijan,TI,2025,5510.909787
Base,Azerbaijan,TI,2026,5718.908386
Base,Azerbaijan,TI,2027,5933.8592
Base,Azerbaijan,TI,2028,6175.302643
Base,Azerbaijan,TI,2029,6383.599111
Base,Azerbaijan,AD,2005,10736
Base,Azerbaijan,AD,2006,28358
Base,Azerbaijan,AD,2007,30237
Base,Azerbaijan,AD,2008,34046
Base,Azerbaijan,AD,2009,32201
Base,Azerbaijan,AD,2010,37462
Base,Azerbaijan,AD,2011,41104
Base,Azerbaijan,AD,2012,42263
Base,Azerbaijan,AD,2013,43713
Base,Azerbaijan,AD,2014,43947
Base,Azerbaijan,AD,2015,40614
